"Year","Flow","Port","Region","Volume (10^3 m3)","Volume (MCF)","Value (CN$)","Value (US$)","Price (CN$/GJ)","Price (US$/MMBTU)"
"1985","Exports","Aden","MidWest","224117.000000","7911545.673796519607561","32653939.00","23920742.52","4.00","3.09"
"1985","Exports","Cardston","MidWest","4.800000","169.444617026924736","0.00","0.00","0.00","0.00"
"1985","Exports","Cornwall","East","227624.800000","8035374.387881320990228","43023233.00","31526592.75","5.03","3.89"
"1985","Exports","Emerson","MidWest","5686689.900000","200745623.386746042055995","935996554.36","685207424.37","4.38","3.38"
"1985","Exports","Fort Frances","East","91672.300000","3236120.367807782026441","14249372.00","10452229.08","4.13","3.20"
"1985","Exports","Huntingdon","West","2800668.000000","98866274.308242350987554","Confidential","Confidential","Confidential","Confidential"
"1985","Exports","Kingsgate","West","11653533.400000","411380938.327807556100244","1738765257.61","1273723507.49","3.94","3.04"
"1985","Exports","Monchy","MidWest","4172676.700000","147299501.126806703229018","Confidential","Confidential","Confidential","Confidential"
"1985","Exports","Niagara Falls","East","1122845.500000","39637526.193313715412106","Confidential","Confidential","Confidential","Confidential"
"1985","Exports","Ojibway (Windsor)","MidWest","13249.500000","467720.094437133223001","2801314.00","2055955.36","5.59","4.33"
"1985","Exports","Philipsburg","East","147573.700000","5209493.558280476026407","28193251.00","20663109.77","5.08","3.93"
"1985","Exports","Reagan Field","MidWest","3700.700000","130638.269631570921041","685612.00","501996.85","4.01","3.09"
"1985","Exports","Sprague","MidWest","9720.200000","343132.409671898739889","1832718.00","1342377.42","5.02","3.88"
"1985","Exports","Total","Total","26154076.500000","923264057.549040096244221","4016576726.33","2942300507.38","4.06","3.13"
"1985","Imports","Coutts","MidWest","5052.300000","178351.049709402481784","Confidential","Confidential","Confidential","Confidential"
"1985","Imports","Total","Total","5052.300000","178351.049709402481784","761665.05","557935.27","4.02","3.11"
"1986","Exports","Aden","MidWest","211709.800000","7473559.579551423617184","22729870.00","16315170.64","2.92","2.21"
"1986","Exports","Cardston","MidWest","4.800000","169.444617026924736","0.00","0.00","0.00","0.00"
"1986","Exports","Cornwall","East","210428.600000","7428331.987189986952757","31659571.00","22724470.78","4.02","3.05"
"1986","Exports","Emerson","MidWest","4205882.600000","148471701.336918028342294","589465597.05","423455527.72","3.75","2.84"
"1986","Exports","Fort Frances","East","94126.800000","3322766.578743737609352","12928869.00","9296231.23","3.67","2.79"
"1986","Exports","Huntingdon","West","2910748.300000","102752214.782348389428804","298468067.46","214303729.80","2.66","2.01"
"1986","Exports","Kingsgate","West","9866864.200000","348309797.005348801744075","1113316561.28","800790329.97","2.99","2.27"
"1986","Exports","Monchy","MidWest","2502263.500000","88332308.428740066309271","339841855.28","244024233.66","3.63","2.75"
"1986","Exports","Niagara Falls","East","809880.600000","28589564.188445006749533","97090114.00","69836651.99","3.21","2.43"
"1986","Exports","Philipsburg","East","145515.500000","5136837.118537805918128","19895194.00","14277454.15","3.66","2.77"
"1986","Exports","Reagan Field","MidWest","4331.700000","152913.176578235403753","556922.00","400783.67","2.74","2.08"
"1986","Exports","Sprague","MidWest","9036.600000","319000.672130314206793","1444627.00","1036097.05","4.28","3.24"
"1986","Exports","Total","Total","20970793.000000","740289164.299148823206680","2527397248.07","1816460680.68","3.20","2.42"
"1986","Imports","Coutts","MidWest","2536.600000","89544.419906353608312","323433.78","231061.95","3.42","2.58"
"1986","Imports","Ojibway (Windsor)","MidWest","258684.000000","9131794.023123542070270","26726399.00","19289341.36","2.76","2.10"
"1986","Imports","Total","Total","261220.600000","9221338.443029895678582","27049832.78","19520403.32","2.76","2.10"
"1987","Exports","Aden","MidWest","187791.600000","6629224.113098633711566","11554214.00","8732696.09","1.66","1.32"
"1987","Exports","Cardston","MidWest","4.400000","155.324232274681008","0.00","0.00","0.00","0.00"
"1987","Exports","Cornwall","East","216388.500000","7638722.189902230455969","25871883.00","19500069.04","3.20","2.54"
"1987","Exports","Emerson","MidWest","3597990.300000","127012518.427102101677914","424271213.02","319917065.48","3.15","2.51"
"1987","Exports","Fort Frances","East","90466.500000","3193554.467972143304944","10080325.00","7600107.65","2.98","2.37"
"1987","Exports","Highwater","East","6363.400000","224634.140831069364977","696347.07","531128.42","2.93","2.35"
"1987","Exports","Huntingdon","West","3929714.900000","138722715.886562477054246","316513464.42","238935309.30","2.08","1.65"
"1987","Exports","Kingsgate","West","13716543.600000","484207182.757315771340061","1252137608.20","944133432.90","2.42","1.92"
"1987","Exports","Monchy","MidWest","4857828.500000","171486018.701037565871538","394941643.24","298609747.83","2.17","1.73"
"1987","Exports","Niagara Falls","East","1256694.600000","44362528.170167580726219","119326208.36","90046776.57","2.54","2.02"
"1987","Exports","Philipsburg","East","147886.800000","5220546.289445294805379","18676470.00","14070532.59","3.38","2.69"
"1987","Exports","Reagan Field","MidWest","4102.600000","144825.726211387807888","324733.00","244849.62","1.68","1.34"
"1987","Exports","Sprague","MidWest","8249.300000","291208.224841710486918","955441.00","719709.57","3.10","2.46"
"1987","Exports","Total","Total","28020025.000000","989133834.418720241288627","2575349550.31","1943041425.04","2.43","1.94"
"1987","Imports","Coutts","MidWest","1129.900000","39886.556828900473870","71084.37","53592.45","1.68","1.33"
"1987","Imports","Ojibway (Windsor)","MidWest","92137.700000","3252549.435467017605293","8167951.00","6173491.38","2.36","1.89"
"1987","Imports","Total","Total","93267.600000","3292435.992295918079163","8239035.37","6227083.83","2.36","1.88"
"1988","Exports","Aden","MidWest","221089.100000","7804657.891318222638925","12731252.00","10300038.18","1.55","1.33"
"1988","Exports","Cardston","MidWest","2.400000","84.722308513462368","0.00","0.00","0.00","0.00"
"1988","Exports","Cornwall","East","233054.000000","8227030.370123525125808","24828962.00","20082565.14","2.84","2.42"
"1988","Exports","Emerson","MidWest","6316226.800000","222968881.496083005269563","539130717.63","437698293.71","2.28","1.95"
"1988","Exports","Fort Frances","East","109449.000000","3863654.976870809775809","10871939.00","8826993.89","2.65","2.27"
"1988","Exports","Highwater","East","63451.600000","2239902.512863670509289","5418861.40","4459536.34","2.28","1.98"
"1988","Exports","Huntingdon","West","3860164.900000","136267533.987766098650471","311410617.83","252558753.46","2.09","1.79"
"1988","Exports","Kingsgate","West","14270506.400000","503762602.443391377528176","1226362026.99","995757688.29","2.27","1.95"
"1988","Exports","Monchy","MidWest","8811281.800000","311046722.941106699275209","634914984.77","515219676.88","1.92","1.65"
"1988","Exports","Niagara Falls","East","1836649.400000","64835490.457443984433647","171621931.00","139242819.84","2.49","2.13"
